,department,code,level,name,Credit Hours,Prerequisites,Description,Corequisite
87,BIOL,BIOL_4575,4,Virology,4.0,"BIOL_3880_and_BIOL_3900_with_grades_of_C_or_higher,_or_equivalent_course_work","Four lecture hours per week. Introduction to viruses, including structure and replication of viruses; virus isolation and classification; pathogenesis and epidemiology of virus disease.",
88,BIOL,BIOL_4576,4,Neurovirology,4.0,BIOL_3800_with_grade_of_C_or_higher,"Following an introduction to basic neuroanatomy and neuroimmunology, individual lectures will focus on the diagnosis, treatment, and pathogenesis of several neurologic diseases of virus origin. These include encephalitis, meningitis, chronic inflammatory and demyelinating diseases, HIV/AIDS-associated dementia, peripheral neuropathies, retinitis, and transmissible spongiform encephalopathies caused by prions. The concept of virus latency within the nervous system will be emphasized, as will the possible contributions of viruses or prions toward the onset of Alzheimer’s disease.",
89,BIOL,BIOL_4580,4,Microbial Pathogenesis,4.0,"BIOL_3880_and_BIOL_3900_with_grades_of_C_or_higher,_or_equivalent_course_work","Four lecture hours a week. This course integrates material from pathogenic microbiology, molecular biology and immunology into an overview of bacterium-host interactions including bacterial attributes, virulence factors, and several paradigms of bacterial-host interactions focusing on molecular and genetic approaches.",
90,BIOL,BIOL_4630,4,Enzymology,3.0,"One_year_of_CHEM_2410_or_CHEM_3410_and_one_semester_of_CHEM_4600_with_a_C_or_higher,_or_equivalent","(Same as CHEM 4630.) Introduction to enzyme catalysis, with emphasis on the general concepts of enzyme kinetics and the common tools for studying enzymes.",
91,BIOL,BIOL_4648,4,Biogeography,4.0,"GEOG_1112,_BIOL_1104K,_or_BIOL_2108K_with_grades_of_B_or_higher,_or_consent_of_instructor","(Same as GEOG 4648.) Spatial variations, processes, and environmental constraints influencing the distribution of life.",
92,BIOL,BIOL_4670,4,Principles and Techniques of Practical Biochemistry,3.0,"One_semester_of_biochemistry_(CHEM_4600/6600)_with_grade_of_B_or_higher,_or_equivalents","(Same as CHEM 4670). A comprehensive and integrated review of principles and modern techniques found in day-to-day biochemical research laboratories. Topics include, but are not limited to: general principles of biochemical investigations, molecular biology and basic techniques, molecular cloning and gene analysis, protein structure, purification and characterization, biomolecular interactions, basic enzyme analysis, spectroscopic techniques, mass spectrometric techniques, centrifugation, electrophoretic, chromatographic, radioisotope and electrochemical techniques.",
93,BIOL,BIOL_4680,4,Microscopy and Imaging,4.0,"BIOL_3800_and_PHYS_1112K_or_PHYS_2212K_with_grades_of_C_or_higher,_or_equivalent","Four lecture hours per week. An introduction to the theory of microscopy and various types of microscopes and their applications to biological research. Topics include: microscopes, basic specimen preparation, and staining techniques.",
94,BIOL,BIOL_4685,4,Functional Histology,4.0,"BIOL_3800_and_BIOL_3240_with_a_C_or_higher,_or_equivalent","Topics include preparation and basic staining of tissues, special stains, identification of tissue features and classification. The course will correlate tissue form and function by incorporating concepts of cell, tissue, and organ physiology. Includes a $75 lab fee.",
95,BIOL,BIOL_4686,4,Pathophysiology,4.0,"BIOL_3800_and_BIOL_3240_with_grades_of_C_or_higher_or_equivalent,_or_consent_of_instructor","Clinical case studies will be used to teach the principles and processes behind adult and childhood diseases. Students will learn basic diagnostic skills in hematology and blood chemistry, histopathology, ECG, spirometry, radiology, and urology.",
96,BIOL,BIOL_4687,4,Surgical Anatomy,4.0,BIOL_3240_or_consent_of_instructor,Detailed examination of human anatomy via dissections and radiology. Cross-listed with BIOL 6687. This course may include a Signature Experience component. Includes a lab fee.,
97,BIOL,BIOL_4694,4,Biosafety: Principles and Practice,4.0,"BIOL_3800_with_grade_of_C_or_higher,_or_equivalent,_or_consent_of_instructor","Four lecture hours per week. The discussion of pathogenic agents and their associated occupational and public health risks. Topics include emerging biosafety issues such as bioterrorism, human gene therapy, and federal and state regulations guiding use of pathogenic organisms.",
98,BIOL,BIOL_4696,4,Laboratory in Molecular Biological Techniques,4.0,BIOL_3900_with_a_grade_of_C_or_higher,"CHEM 4600 recommended. One lecture and six laboratory hours a week. Isolation and characterization of nucleic acids and proteins. Topics include molecular cloning, isolation, characterization and sequence analysis of chromosomal and plasmid DNA, PCR mediated gene amplification, and protein purification. Includes a $50 lab fee.",
99,BIOL,BIOL_4740,4,Advanced Biomedical Ethics,3.0,"one_2000_or_3000-level_philosophy_course,_or_consent_of_instructor","Major moral problems in science and medicine, including abortion, death and euthanasia, treatment of the mentally ill, experimentation with human subjects, and genetic research.",
100,BIOL,BIOL_4744,4,Biostatistics,3.0,MATH_2202_or_MATH_2211;_and_BIOL_2108K_with_a_C_or_higher;_or_equivalents,(Same as MATH 4544.) Three lecture hours a week. Principles and methods of statistics as applied to biology and medicine.,
101,BIOL,BIOL_4800,4,Principles of Cellular Biology,4.0,"BIOL_3800,_BIOL_3900,_and_CHEM_1211K_with_grades_of_C_or_higher,_or_consent_of_instructor","Four lecture hours a week. Survey of cellular components and processes in different cell types as they relate to the function of the cell. Includes signal transduction, photoreceptors, neurons, muscle, blood cells, cells of the immune system, and cell biology of infection.",
102,BIOL,BIOL_4870,4,Honors Thesis I,1.0 - 6.0,Good_standing_with_the_Honors_College_and_consent_of_instructor,Readings or research preparatory to honors thesis or project. Signature Experience course.,
103,BIOL,BIOL_4880,4,Honors Thesis II,1.0 - 6.0,Good_standing_with_the_Honors_College_and_consent_of_instructor,Writing or production of honors thesis or project. Signature Experience course.,
104,BIOL,BIOL_4905,4,Theme-Based Biology Laboratory,2.0 - 4.0,Permission_of_instructor,"Students will work in small groups to develop specific biological hypotheses, design and carry out experiments to test these hypotheses, and analyze the results they obtain. May be repeated for credit if the topic is different. Specific prerequisites will be listed in the class schedule. This course may include a Signature Experience component. Includes a $50 per credit hour lab fee.",
105,BIOL,BIOL_4910,4,Undergraduate Research in Biology,1.0 - 5.0,at_least_20_hours_in_biology_and_consent_of_instructor,Independent laboratory investigation of common interest to student and instructor. May be repeated once. This course may include a Signature Experience component. Includes a $50 per credit hour lab fee.,
106,BIOL,BIOL_4913,4,Georgia Aquarium Internship I,2.0,"BIOL_3020_with_grade_of_B_or_higher,_or_consent_of_instructor","Students will participate in the education programs at the Georgia Aquarium one morning a week for about three hours, depending on Aquarium requirements, and under the supervision of Aquarium staff. The primary goal is to train interns to be able to deliver education programs at the Georgia Aquarium. This course may include a Signature Experience component. Includes a $50 lab fee.",
107,BIOL,BIOL_4914,4,Georgia Aquarium Internship II,2.0,BIOL_4913_with_grade_of_S_and_consent_of_instructor,"This is the second part of the Georgia Aquarium internship program. Students will participate in the education programs at the Georgia Aquarium one morning a week for about three hours, depending on Aquarium requirements, and under the supervision of Aquarium staff. The interns will deliver education programs to visiting student groups and train interns in first part of the Intern program (BIOL 4913 or BIOL 6913). This course may include a Signature Experience component.",
108,BIOL,BIOL_4915,4,Collaborative Internships in Biology,2.0,consent_of_instructor,Students engage in off-campus internship training arranged through collaboration with biology faculty members. May be taken for credit a maximum of two times. This course may include a Signature Experience component.,
109,BIOL,BIOL_4916,4,Internships in Biology,2.0,consent_of_instructor,Students receive hands-on experience in activities that require knowledge and skills related to the field of biology. Specific topics available each semester will vary. May be taken for credit a maximum of two times. This course may include a Signature Experience component.,
110,BIOL,BIOL_4930,4,Topics in Biology,3.0 - 4.0,consent_of_instructor,Three or four lecture hours a week. Detailed examination of a selected area in biological sciences. May be repeated for credit if topic is different.,
111,BIOL,BIOL_4960,4,Biology Careers Seminar,1.0,BIOL_2108K_(or_BIOL_2108_and_BIOL_2108L)_or_BIOL_2800_with_a_C_or_higher,"Speakers from different biology-related fields will discuss their jobs from the perspective of helping Biology majors with their career planning. Topics will include graduate training at GSU, health and teaching-related careers, other biology-related careers, and job search strategies. May be repeated for credit a maximum of one time.",
112,BIOL,BIOL_4970,4,Biology Seminar,1.0,at_least_20_hours_in_biology,Current research topics in biology. May be repeated for credit a maximum of one time.,
113,BIOL,BIOL_4980,4,Senior Seminar-CTW,3.0,"BIOL_3810,_BIOL_3880,_and_BIOL_3900_with_grades_of_C_or_higher",Critical analysis of research in biology using primary literature and seminars in biology. Serves as one of the two Critical Thinking Through Writing (CTW) courses required of all biology majors. This course may include a Signature Experience component.,
114,BIOL,BIOL_4995,4,Directed Readings B.I.S.-CTW,3.0 - 4.0,,Directed Readings designed for Bachelor of Interdisciplinary Studies students.,
115,BIOL,,,,,,,
